,Диаметр экспл.колонны,Буферное давление,Давление в линии,Динамическая высота,Затрубное давление,Обводненность,Глубина спуска,Давление на приеме
1240,146.8,19.0,18.0,2150.0,20.4,60.0,2294.0,37.0
1241,146.8,17.5,16.6,2190.0,19.0,31.0,2234.0,22.0
1242,146.8,23.0,22.0,2803.0,24.6,29.0,2877.0,29.0
1243,150.2,19.5,18.8,2700.0,19.0,28.0,2731.0,25.0
1244,146.8,14.5,13.5,2255.0,15.0,96.0,2316.77,17.0
1245,146.8,19.7,18.7,3090.0,20.6,34.0,3099.23,21.0
1246,146.8,23.5,22.6,2997.0,25.0,35.0,2998.36,35.0
1247,146.8,16.0,15.0,2230.0,17.0,88.0,2269.32,21.0
1248,146.8,16.3,15.3,2236.0,17.1,93.0,2316.77,20.0
1249,146.8,18.1,17.1,2269.0,18.6,46.0,2310.1,25.0
1250,146.8,23.0,22.0,2982.0,23.3,46.0,2998.36,34.0
1251,146.8,9.0,8.3,2387.0,10.5,66.0,2540.0,12.0
1252,146.8,16.3,15.3,2590.0,16.0,86.0,2665.61,24.0
1253,146.8,7.0,6.0,2490.0,8.4,41.0,2507.11,16.0
1254,146.8,16.7,15.0,2256.0,17.0,92.0,2354.91,18.0
1255,146.8,20.0,19.0,2160.0,21.7,91.0,2245.6,24.0
1256,146.8,14.0,13.0,2295.0,14.0,87.0,2304.0,15.0
1257,150.2,18.3,17.3,2514.0,18.9,70.0,2648.0,22.0
1258,146.8,17.0,16.2,2807.0,17.8,94.0,3049.43,30.0
1259,146.8,17.9,16.9,2400.0,18.3,46.0,2435.0,19.0
1260,157.2,7.0,6.0,2330.0,7.2,33.0,2359.0,10.0
1261,146.8,19.5,18.5,2772.0,20.4,19.0,2820.61,25.0
1262,150.2,26.0,25.0,2472.0,26.0,17.0,2725.0,35.0
1263,146.8,30.0,18.3,2203.0,20.2,34.0,2290.0,34.0
1264,146.8,16.0,15.0,2800.0,18.0,31.0,2957.68,22.0
1265,159.6,26.5,25.6,2760.0,32.9,52.0,2900.0,45.0
1266,146.8,19.0,18.0,2123.0,20.0,31.0,2234.0,23.0
1267,146.8,17.0,16.0,2865.0,16.9,78.0,2871.0,23.0
1268,146.8,22.4,21.4,2190.0,24.3,72.0,2235.0,27.0
1269,146.8,16.7,15.7,2620.0,17.8,82.0,2681.0,21.0
1270,146.8,16.3,15.3,2620.0,16.1,67.0,2691.0,22.0
1271,146.8,15.0,14.0,3070.0,15.8,41.0,3099.23,20.0
1272,157.2,6.8,5.8,2650.0,7.5,23.0,2664.03,11.0
1273,146.8,27.0,26.0,2840.0,26.8,78.0,2875.29,24.0
1274,146.8,24.5,23.5,2635.0,24.7,25.0,2643.0,28.0
1275,159.6,32.0,19.0,2890.0,20.0,69.0,2900.0,22.0
1276,146.8,16.0,15.0,2668.0,16.0,68.0,2702.0,22.0
1277,146.8,23.0,22.8,2800.0,23.4,65.0,2870.0,32.0
1278,146.8,18.0,17.2,2788.0,17.6,38.0,3140.39,33.0
1279,146.8,7.0,6.0,2373.0,8.3,46.0,2507.11,20.0
1280,146.8,14.5,13.5,2741.0,15.0,60.0,2756.0,16.0
1281,146.8,19.5,19.0,2531.0,20.2,40.0,2559.0,25.0
1282,149.0,9.6,8.6,,,,2349.14,14.0
1283,146.8,19.6,18.6,2232.0,20.4,63.0,2287.0,32.0
1284,146.8,20.8,19.8,2601.0,4.0,26.0,2702.0,12.0
1285,159.6,19.0,18.0,2752.0,19.8,90.0,2810.0,24.0
1286,146.8,18.3,17.3,2516.0,18.9,50.0,2582.0,26.0
1287,146.8,23.0,21.5,2648.0,23.62,4.0,2678.0,26.0
1288,146.8,23.5,22.5,2601.0,22.5,15.0,2632.0,36.0
1289,146.8,6.5,5.4,2365.0,6.4,48.0,2366.0,5.0
1290,146.8,8.0,7.0,2995.0,9.5,41.0,3030.0,15.0
1291,146.8,18.0,17.0,2315.0,18.0,92.0,2485.94,21.0
1292,146.8,20.0,19.0,2505.0,22.0,81.0,2665.61,22.0
1293,146.8,23.0,22.0,2594.0,23.0,30.0,2630.0,32.0
1294,146.8,7.1,6.2,2168.0,8.3,36.0,2366.0,16.0
1295,146.8,16.7,15.7,2313.0,18.4,79.0,2320.0,21.0
1296,146.8,19.5,18.5,2708.0,20.3,32.0,2727.16,23.0
1297,146.8,19.0,18.7,2517.0,19.9,38.0,2572.26,27.0
1298,147.2,7.0,6.0,2338.0,8.0,66.0,2521.0,21.0
1299,146.8,15.0,14.0,3025.0,15.0,40.0,3051.5,18.0
1300,,12.9,11.9,2574.0,13.6,38.0,2729.0,19.0
1301,146.8,23.3,22.0,2416.0,25.8,17.0,2450.0,32.0
1302,159.6,10.0,9.0,2651.0,10.5,78.0,2765.0,14.0
1303,146.8,14.0,5.6,2542.0,6.2,38.0,2556.04,10.0
1304,146.8,18.5,17.5,2358.0,19.2,36.0,2555.0,34.0
1305,150.2,12.0,11.0,2340.0,14.0,16.0,2370.0,16.0
1306,146.8,21.2,20.2,2212.0,20.8,63.0,2410.12,29.0
1307,150.2,22.0,21.0,2066.0,23.0,65.0,2234.0,34.0
1308,146.8,16.0,15.0,2563.0,16.8,34.0,2728.04,27.0
1309,146.8,6.0,5.0,2346.0,6.1,56.0,2556.04,8.0
1310,146.8,16.7,15.7,2604.0,17.2,74.0,2654.0,26.0
1311,146.8,23.2,22.2,2790.0,22.8,52.0,2805.0,32.0
1312,146.8,16.7,15.7,2421.0,13.7,20.0,2748.36,33.0
1313,146.8,6.8,5.8,2497.0,8.0,63.0,2564.4,10.0
1314,150.2,18.6,18.0,2250.0,18.9,37.0,2298.0,21.0
1315,146.8,21.0,20.0,3026.0,21.7,94.0,3049.43,24.0
1316,146.8,17.3,16.3,2289.0,17.9,26.0,2328.34,22.0
1317,146.8,16.6,15.7,2799.0,17.1,16.0,2820.61,19.0
1318,146.8,27.0,26.0,2983.0,27.4,45.0,3036.0,33.0
1319,146.8,30.0,18.0,2305.0,19.0,40.0,2345.64,22.0
1320,146.8,20.4,19.8,2563.0,20.8,41.0,2572.26,27.0
1321,146.8,28.5,27.6,2510.0,29.0,27.0,2653.0,41.0
1322,159.6,24.5,23.5,1618.0,10.2,80.0,2570.0,91.0
1323,150.2,22.5,20.0,2120.0,22.8,66.0,2234.0,31.0
1324,159.6,9.5,8.6,2788.0,13.8,27.0,2824.0,16.0
1325,159.6,8.5,7.6,2080.0,9.0,59.0,2820.27,33.0
1326,146.8,13.8,12.8,2172.0,14.9,78.0,2189.2,15.0
1327,146.8,17.2,16.2,2961.0,17.7,26.0,3051.5,22.0
1328,146.8,18.0,17.2,1810.0,18.7,39.0,2302.04,50.0
1329,146.8,17.0,16.0,1827.0,3.4,40.5,3071.0,112.0
1330,146.8,19.7,18.8,2674.0,21.0,35.0,2731.0,27.0
1331,146.8,17.3,16.4,2565.0,17.8,66.0,2654.0,26.0
1332,146.8,16.0,15.0,2175.0,16.0,80.0,2245.52,18.0
1333,146.8,22.9,21.9,2309.0,24.0,60.0,2338.34,27.0
1334,146.8,17.0,16.1,2774.0,18.2,30.0,3037.2,39.0
1335,146.8,22.6,21.6,2446.0,22.0,80.0,2456.0,22.0
1336,159.6,25.0,24.0,2875.0,25.2,90.0,2968.0,28.0
1337,159.6,23.0,22.0,2484.0,25.1,30.0,2560.0,32.0
1338,146.8,9.4,8.4,3070.0,9.6,26.0,3119.11,14.0
1339,146.8,24.0,20.0,2320.0,21.5,26.0,2328.34,23.0
1340,146.8,23.5,23.0,2234.0,24.2,86.0,2235.0,27.0
1341,146.8,18.5,17.5,2578.0,19.0,63.0,2654.0,29.0
1342,146.8,8.0,7.0,2975.0,9.0,45.0,3030.0,14.0
1343,146.8,21.5,20.1,2212.0,22.3,20.0,2405.0,26.0
1344,146.8,20.0,19.0,2293.0,22.4,31.0,2328.34,26.0
1345,146.8,6.5,5.5,2542.0,6.5,84.0,2551.94,7.0
1346,157.0,7.1,6.1,1982.0,7.1,46.0,2322.33,27.0
1347,146.8,20.4,19.4,2840.0,21.0,30.0,2851.0,23.0
1348,146.8,9.0,4.0,2460.0,8.7,94.0,2865.12,30.0
1349,146.8,15.0,14.0,2251.0,15.0,90.0,2262.85,21.0
1350,147.2,7.0,6.0,2355.0,7.5,48.0,2520.84,23.0
1351,157.2,6.6,5.6,2364.0,7.0,88.0,2365.0,8.0
1352,146.8,16.7,15.7,3020.0,16.9,23.0,3034.33,20.0
1353,157.0,7.0,6.0,2314.0,8.0,56.0,2340.0,14.0
1354,146.8,16.0,15.0,2219.0,16.0,90.0,2290.26,20.0
1355,146.8,23.0,22.0,2195.0,23.7,76.0,2235.0,29.0
1356,146.8,22.0,21.0,2320.0,22.9,56.0,2338.34,27.0
